erp_id;product_name;industrial_site;product_group1;product_group2;product_group3;barcode
40879; Кукуруза высший сорт 425мл ж/б (заливка);Пищевик;Кукуруза;;;4650057300019
41664; Кукуруза высший сорт 425мл ж/б (заливка);КубаньКонсервПрод;Кукуруза;;;4650057300019
8362; Лечо 720мл ст/б;Албаши;Соусы;;;4650057300484
31620; Лечо 720мл ст/б;Юнона;Соусы;;;4650057300484
38318; Лимоны протертые с сахаром 280г стб;Стоев;Ягоды;;;4650057304376
35980; Малина протертая с сахаром 280г стб ;Стоев;Ягоды;;;4650057303973
24754; Манго дольки 425мл ж/б;KOLIATE;Прочее;;;4650057303102
3408; Маслины без косточки 300мл ж/б;ACENORCA;Маслины;;;4650057301009
41965; Маслины без косточки 300мл ж/б;ACENORCA;Маслины;;;4650057301009
39096; Маслины без косточки 300мл ж/б;Вастега;Маслины;;;4650057301009
27935; Маслины без косточки 300мл ж/б Del Sabor;ACENORCA;Маслины;;;4650057303362
21995; Маслины без косточки в масле 300мл ж/б ;ACENORCA;Маслины;;;4650057302983
24158; Маслины резанные 3100мл ж/б ;ACENORCA;Маслины;;;4650057303249
3407; Маслины с косточкой 300мл ж/б;ACENORCA;Маслины;;;4650057300989
44090; Маслины с косточкой 300мл ж/б;Вастега;Маслины;;;4650057300989
45616; Огурцы корнишоны маринованные 3-6 350гр ст/б ;ДОМАТ;Огурцы;;;4650057302419
38460; Огурцы корнишоны маринованные 3-6 350гр ст/б ;Самобранка;Огурцы;;;4650057302419
40518; Огурцы корнишоны маринованные 6-9 720мл ст/б (урожай 2023);Агро-Юг;Огурцы;;;4650057301368
36822; Огурцы корнишоны маринованные 6-9 720мл ст/б (урожай 2023);ДОМАТ;Огурцы;;;4650057301368
36949; Огурцы корнишоны маринованные 6-9 720мл ст/б (урожай 2023);Налмэс;Огурцы;;;4650057301368
45182; Огурцы маринованные 1500мл (лимонка) ст/б;Пищевик;Огурцы;;;4650057305557
45183; Огурцы маринованные 1500мл (уксус) ст/б;Пищевик;Огурцы;;;4650057305557
38278; Огурцы маринованные 720мл ст/б (урожай 2023);ДОМАТ;Огурцы;;;4650057300422
33461; Огурцы маринованные 720мл ст/б (урожай 2023);Налмэс;Огурцы;;;4650057300422
40878; Огурцы маринованные 720мл ст/б (урожай 2023);Пищевик;Огурцы;;;4650057300422
40877; Огурцы с зеленью 720мл ст/б (урожай 2022);Агро-Юг;Огурцы;;;4650057300446
40876; Огурцы с зеленью 720мл ст/б (урожай 2022);Налмэс;Огурцы;;;4650057300446
3405; Оливки без косточки 300мл ж/б;ACENORCA;Оливки;;;4650057301030
41966; Оливки без косточки 300мл ж/б;ACENORCA;Оливки;;;4650057301030
39816; Оливки без косточки 300мл ж/б;Вастега;Оливки;;;4650057301030
3402; Оливки с анчоусом 300мл ж/б;ACENORCA;Оливки;;;4650057301122
3406; Оливки с косточкой 300мл ж/б;ACENORCA;Оливки;;;4650057301054
44874; Оливки с косточкой 300мл ж/б;Вастега;Оливки;;;4650057301054
3404; Оливки с креветкой 300мл ж/б;ACENORCA;Оливки;;;4650057301146
21996; Оливки с кусочком перца 300мл ж/б;ACENORCA;Оливки;;;4650057303003
3403; Оливки с лимоном 300мл ж/б;ACENORCA;Оливки;;;4650057301085
3410; Оливки с лососем 300мл ж/б;ACENORCA;Оливки;;;4650057301108
8349; Паста томатная 25% 270гр ст/б ;Кубаньпродторгсервис;Паста;;;4650057300507
12365; Паста томатная 25% 270гр ст/б ;Кубаньпродторгсервис;Паста;;;4650057300507
31164; Паста томатная 25% 270гр ст/б ;Кубаньпродторгсервис;Паста;;;4650057300507
45066; Паста томатная 25% 270гр ст/б ;Тульский продукт;Паста;;;4650057300507
21419; Паста томатная 25% 380гр ж/б;ДОМАТ;Паста;;;4650057300408
33187; Паста томатная 25% 720мл ст/б;Кубаньпродторгсервис;Паста;;;4650057300361
19390; Паста томатная 30% 600гр ст/б амфора;Кубаньпродторгсервис;Паста;;;4650057302334
28588; Паста томатная 30% 600гр ст/б амфора;Кубаньпродторгсервис;Паста;;;4650057302334
45961; Паста томатная 30% 600гр ст/б амфора;Тульский продукт;Паста;;;4650057302334
44972; Перец бэби острый 350гр;ДОМАТ;Перец;;;4650057305380
44971; Перец зеленый острый 350гр;ДОМАТ;Перец;;;4650057305427
44973; Перец острый 500гр;ДОМАТ;Перец;;;4650057305403
36591; Перец халапеньо 500гр ст/б;ДОМАТ;Перец;;;4650057304031
36920; Перец халапеньо резаный 500гр ст/б;ДОМАТ;Перец;;;4650057304055
8277; Персики половинки 3100мл ж/б;XIAMEN PAK SHING;Персики;;;4650057301986
41580; Персики половинки 425мл ж/б;QINGDAO JUNYALI;Персики;;;4650057301481
4418; Персики половинки 425мл ж/б;XIAMEN PAK SHING;Персики;;;4650057301481
41581; Персики половинки 425мл ж/б;XIAMEN PAK SHING;Персики;;;4650057301481
45606; Персики половинки 425мл ж/б;XIAMEN PAK SHING;Персики;;;4650057301481
4419; Персики половинки 850мл ж/б;XIAMEN PAK SHING;Персики;;;4650057301382
43238; Соус Барбекю 250гр пл/б;Стоев;Соусы;;;4650057305083
37241; Соус Кавказский острый 200г пл/б;Стоев;Соусы;;;4650057304154
43239; Соус Кисло сладкий 250гр пл/б;Стоев;Соусы;;;4650057305106
43237; Соус Перечный 250гр пл/б;Стоев;Соусы;;;4650057305069
43240; Соус Сладкий чили 250гр пл/б;Стоев;Соусы;;;4650057305120
42242;" Соус соевый ""Классический"" 205мл пл/б ЭКОНОМ";СОСТРА;Соусы;;;4650057304963
45792; Соус соевый 250мл пл/б;МВ ФУД;Соусы;;;4650057305724
42243; Соус соевый 250мл ст/б;СОСТРА;Соусы;;;4650057304987
44516; Соус Терияки 250гр пл/б;МВ ФУД;Соусы;;;4650057305328
39782;" Соус томатный для гарниров ""Овощной жюс"" 360г ст/б";Стоев;Соусы;;;4650057304901
39781;" Соус томатный для макарон ""Конфи"" 360г ст/б";Стоев;Соусы;;;4650057304888
39780;" Соус томатный для спагетти ""Арабьята"" 360г ст/б";Стоев;Соусы;;;4650057304864
44517; Соус Унаги 250гр пл/б;МВ ФУД;Соусы;;;4650057305304
44518; Соус Чили кисло-сладкий 250гр пл/б;МВ ФУД;Соусы;;;4650057305366
37242; Соус Чили остро-жгучий 200г пл/б;Стоев;Соусы;;;4650057304130
37794; Томаты в томатном соке 720мл ст/б (урожай 2023);ДОМАТ;Томаты;;;4650057301221
